,How many employees does your company or organization have?,Is your primary role within your company related to tech/IT?,Does your employer provide mental health benefits as part of healthcare coverage?,Do you know the options for mental health care available under your employer-provided coverage?,"Has your employer ever formally discussed mental health (for example, as part of a wellness campaign or other official communication)?",Does your employer offer resources to learn more about mental health concerns and options for seeking help?,Is your anonymity protected if you choose to take advantage of mental health or substance abuse treatment resources provided by your employer?,"If a mental health issue prompted you to request a medical leave from work, asking for that leave would be:",Do you think that discussing a mental health disorder with your employer would have negative consequences?,Do you think that discussing a physical health issue with your employer would have negative consequences?,Would you feel comfortable discussing a mental health disorder with your coworkers?,Would you feel comfortable discussing a mental health disorder with your direct supervisor(s)?,Do you feel that your employer takes mental health as seriously as physical health?,Have you heard of or observed negative consequences for co-workers who have been open about mental health issues in your workplace?,Do you have medical coverage (private insurance or state-provided) which includes treatment of  mental health issues?,Do you know local or online resources to seek help for a mental health disorder?,"If you have been diagnosed or treated for a mental health disorder, do you ever reveal this to clients or business contacts?","If you have revealed a mental health issue to a client or business contact, do you believe this has impacted you negatively?","If you have been diagnosed or treated for a mental health disorder, do you ever reveal this to coworkers or employees?","If you have revealed a mental health issue to a coworker or employee, do you believe this has impacted you negatively?",Do you believe your productivity is ever affected by a mental health issue?,"If yes, what percentage of your work time (time performing primary or secondary job functions) is affected by a mental health issue?",Do you have previous employers?,Have your previous employers provided mental health benefits?,Were you aware of the options for mental health care provided by your previous employers?,Did your previous employers ever formally discuss mental health (as part of a wellness campaign or other official communication)?,Did your previous employers provide resources to learn more about mental health issues and how to seek help?,Was your anonymity protected if you chose to take advantage of mental health or substance abuse treatment resources with previous employers?,Do you think that discussing a mental health disorder with previous employers would have negative consequences?,Do you think that discussing a physical health issue with previous employers would have negative consequences?,Would you have been willing to discuss a mental health issue with your previous co-workers?,Would you have been willing to discuss a mental health issue with your direct supervisor(s)?,Did you feel that your previous employers took mental health as seriously as physical health?,Did you hear of or observe negative consequences for co-workers with mental health issues in your previous workplaces?,Would you be willing to bring up a physical health issue with a potential employer in an interview?,Would you bring up a mental health issue with a potential employer in an interview?,Do you feel that being identified as a person with a mental health issue would hurt your career?,Do you think that team members/co-workers would view you more negatively if they knew you suffered from a mental health issue?,How willing would you be to share with friends and family that you have a mental illness?,Have you observed or experienced an unsupportive or badly handled response to a mental health issue in your current or previous workplace?,Have your observations of how another individual who discussed a mental health disorder made you less likely to reveal a mental health issue yourself in your current workplace?,Do you have a family history of mental illness?,Have you had a mental health disorder in the past?,Do you currently have a mental health disorder?,"If yes, what condition(s) have you been diagnosed with?","If maybe, what condition(s) do you believe you have?",Have you been diagnosed with a mental health condition by a medical professional?,"If so, what condition(s) were you diagnosed with?",Have you ever sought treatment for a mental health issue from a mental health professional?,"If you have a mental health issue, do you feel that it interferes with your work when being treated effectively?","If you have a mental health issue, do you feel that it interferes with your work when NOT being treated effectively?",What is your age?,What is your gender?,Which of the following best describes your work position?,Do you work remotely?,age_range
12,1,0,4,0,2,2,2,6,0,2,2,2,3,0,0,1,0,1,0,1,0,4,1,3,4,3,2,4,2,1,3,3,4,1,1,1,2,2,4,1,1,2,2,2,83,77,1,68,1,3,4,11,0,219,0,1
13,1,1,4,3,3,3,2,4,0,2,1,0,3,0,0,1,0,1,0,1,0,4,1,0,1,2,1,0,4,3,2,3,2,2,2,1,0,3,2,2,0,1,0,0,107,95,0,95,0,1,4,25,1,47,2,2
14,1,0,4,3,2,0,2,6,0,2,2,2,2,0,0,1,0,1,0,1,0,4,1,0,3,2,1,0,0,1,1,0,0,1,1,1,2,2,4,1,1,2,2,2,57,77,1,44,1,4,4,16,1,16,0,2
15,1,0,0,2,2,0,0,1,1,0,0,0,0,0,0,1,0,1,0,1,0,4,1,3,0,3,2,3,3,2,2,3,3,1,0,0,0,0,0,1,1,2,2,2,83,77,1,68,1,3,4,33,1,177,2,2
16,2,0,3,2,2,2,0,5,1,2,0,0,2,0,0,1,0,1,0,1,0,4,1,2,3,2,1,2,4,1,1,2,2,2,2,1,4,1,5,2,2,2,2,2,32,77,1,9,1,4,2,13,0,95,0,2
17,3,0,2,2,2,2,0,0,1,2,2,0,2,0,0,1,0,1,0,1,0,4,1,2,4,2,1,0,3,2,2,3,3,1,1,1,0,0,4,0,0,1,1,1,107,77,0,95,0,1,1,15,1,0,1,2
18,6,0,1,1,1,1,1,2,0,1,1,1,1,0,1,0,2,3,2,4,3,3,0,1,2,1,0,1,1,0,0,1,1,0,1,1,4,4,3,3,2,0,2,2,113,77,1,101,1,2,2,6,0,126,0,1
19,1,1,0,2,2,2,0,0,1,2,1,1,3,0,0,1,0,1,0,1,0,4,1,0,1,2,2,0,4,1,1,2,2,1,2,1,3,3,3,1,1,2,2,2,10,77,1,9,1,3,4,12,1,8,2,2
20,4,0,2,1,2,2,0,6,0,2,0,2,0,0,0,1,0,1,0,1,0,4,1,4,4,2,1,4,2,1,2,3,4,1,0,1,3,3,3,0,0,2,0,1,107,77,0,95,0,1,1,7,1,0,2,1
21,5,1,4,2,3,0,0,4,0,2,0,2,0,0,0,1,0,1,0,1,0,4,1,3,4,3,2,4,2,2,2,3,0,1,1,1,0,0,0,1,1,1,1,1,107,77,0,95,0,1,1,16,1,162,1,2
22,2,0,4,3,2,2,0,6,1,0,0,1,0,0,0,1,0,1,0,1,0,4,1,4,4,2,1,0,0,2,2,3,0,1,0,0,0,1,0,1,1,0,0,1,107,77,0,95,0,1,1,6,1,0,2,1
23,0,0,4,3,2,2,0,3,1,2,0,0,0,0,0,1,0,1,0,1,0,4,1,3,0,3,2,0,3,2,2,3,3,2,1,1,3,0,4,3,0,2,2,1,107,77,1,76,1,4,2,14,1,0,2,2
24,6,0,1,1,1,1,1,2,0,1,1,1,1,0,1,0,3,1,3,3,1,4,1,0,3,2,1,0,3,2,2,3,0,2,0,0,0,1,1,1,1,1,1,1,107,77,0,95,0,1,1,19,1,205,2,2
25,1,1,4,3,0,3,2,6,0,2,0,0,3,0,0,1,0,1,0,1,0,4,0,1,2,1,0,1,1,0,0,1,1,0,0,0,0,1,5,0,1,1,1,1,107,77,0,95,0,1,1,23,1,245,1,2
26,2,1,2,2,2,2,0,5,1,3,1,1,2,0,0,1,0,1,0,1,0,4,1,2,0,3,1,0,3,2,1,0,3,1,1,0,3,3,4,0,2,0,2,2,83,77,1,68,1,3,2,8,1,222,2,1
27,1,0,0,2,2,2,0,3,0,2,1,1,0,0,0,1,0,1,0,1,0,4,1,2,1,2,1,0,0,2,1,2,2,2,0,1,3,3,3,0,1,1,1,0,107,13,0,95,1,4,2,16,1,0,1,2
28,3,1,0,2,3,3,0,1,1,2,0,0,0,1,0,1,0,1,0,1,0,4,1,0,3,2,1,0,3,2,1,2,2,3,0,1,3,1,0,3,2,2,2,0,107,13,0,95,1,4,2,15,0,162,1,2
29,4,0,3,1,2,2,2,4,0,2,2,2,3,0,0,1,0,1,0,1,0,4,1,2,1,2,1,0,3,2,1,2,2,2,1,1,3,3,3,3,0,2,2,2,10,77,1,68,1,4,2,13,2,200,1,2
30,1,0,3,3,2,2,0,4,1,2,0,0,2,0,0,1,0,1,0,1,0,4,0,1,2,1,0,1,1,0,0,1,1,0,0,0,3,0,5,0,1,2,2,2,83,77,1,68,1,3,2,13,2,0,1,2
31,1,0,4,3,2,3,2,6,0,2,2,2,3,0,0,1,0,1,0,1,0,4,1,3,4,2,2,4,2,1,3,0,4,1,1,1,1,2,5,1,1,1,2,2,56,77,1,43,1,2,4,11,1,206,2,1
32,5,0,0,0,2,2,0,6,1,2,1,0,2,0,0,1,0,1,0,1,0,4,0,1,2,1,0,1,1,0,0,1,1,0,1,1,0,0,4,1,1,0,2,0,107,13,0,95,0,3,2,12,1,154,1,2
33,6,0,1,1,1,1,1,2,0,1,1,1,1,0,0,2,1,2,4,3,3,0,1,3,3,2,1,0,0,2,2,4,0,1,1,0,0,0,4,1,1,1,1,1,107,77,0,95,0,1,1,18,1,8,2,2
34,2,0,4,0,2,0,2,6,0,2,0,2,3,0,0,1,0,1,0,1,0,4,1,2,1,2,1,0,3,2,1,2,2,1,2,2,1,1,3,0,1,1,2,2,99,77,0,95,0,1,4,17,1,230,2,2
35,1,0,2,2,2,3,0,4,1,2,1,1,0,1,0,1,0,1,0,1,0,4,1,2,1,2,1,3,3,1,2,2,2,1,1,1,3,3,4,1,1,1,1,1,107,77,0,95,0,1,1,14,1,77,1,2
36,2,0,4,0,2,3,2,6,0,2,2,0,3,0,0,1,0,1,0,1,0,4,1,3,0,3,2,0,3,2,2,3,3,2,2,2,0,0,4,2,1,2,2,2,83,77,1,68,1,4,2,25,1,0,0,2
37,1,0,2,3,2,2,0,4,0,2,2,2,3,0,0,1,0,1,0,1,0,4,1,2,4,2,1,2,3,1,2,3,2,3,0,0,0,3,4,3,2,1,1,0,107,2,0,95,0,0,4,10,1,95,1,1
38,1,0,2,0,3,2,0,4,0,2,0,2,0,0,0,1,0,1,0,1,0,4,1,2,1,2,1,0,0,1,2,3,3,1,2,0,0,1,5,1,1,2,2,0,107,2,1,3,1,3,4,10,1,0,2,1
39,5,0,4,3,0,0,0,1,1,2,2,2,0,1,0,1,0,1,0,1,0,4,1,3,3,2,2,0,3,2,3,4,0,2,2,2,0,0,5,3,1,0,1,1,107,77,0,95,0,1,1,25,1,261,0,2
40,6,0,1,1,1,1,1,2,0,1,1,1,1,0,1,0,1,3,4,0,3,1,1,4,3,2,2,4,3,2,3,3,2,2,0,1,3,1,4,3,0,2,2,2,99,77,0,95,0,3,4,15,1,129,2,2
41,1,0,4,0,2,0,2,4,0,2,0,2,2,0,0,1,0,1,0,1,0,4,1,3,0,3,2,4,3,1,2,3,3,2,0,0,1,1,4,0,1,0,2,2,1,77,0,95,1,3,4,21,1,162,0,2
42,5,0,4,0,2,2,2,3,1,0,2,2,2,0,0,1,0,1,0,1,0,4,1,3,3,2,2,0,3,1,3,4,2,1,0,1,0,0,5,0,1,2,2,2,83,77,0,95,1,2,2,27,0,242,1,2
43,6,0,1,1,1,1,1,2,0,1,1,1,1,0,1,0,2,0,4,2,3,2,1,2,1,2,1,0,3,1,2,3,3,2,2,1,3,1,4,2,1,2,2,2,86,77,0,95,1,4,2,9,1,46,2,1
44,5,1,2,0,2,2,1,3,1,2,1,1,2,0,0,1,0,1,0,1,0,4,1,2,1,2,1,2,0,1,2,2,2,1,1,1,3,3,4,1,1,1,1,1,107,77,0,95,0,1,1,22,1,0,1,2
45,4,0,4,3,0,3,0,4,1,0,0,0,2,0,0,1,0,1,0,1,0,4,1,2,1,2,1,2,4,3,1,2,2,2,1,1,3,3,4,2,2,2,2,2,40,77,1,9,1,4,2,14,1,210,2,2
46,6,0,1,1,1,1,1,2,0,1,1,1,1,0,1,0,4,0,4,0,3,0,1,3,0,3,2,3,3,2,3,3,0,2,2,0,1,0,5,3,1,2,2,2,56,77,1,43,1,3,2,13,1,162,2,2
47,4,0,0,2,2,0,0,0,1,2,1,0,0,0,0,1,0,1,0,1,0,4,1,3,0,2,2,0,3,2,2,3,3,1,0,0,0,0,3,1,1,0,0,0,107,13,0,95,0,1,4,26,1,47,2,2
48,6,0,1,1,1,1,1,2,0,1,1,1,1,0,0,0,1,1,3,3,3,1,1,0,1,2,1,0,0,2,1,0,0,2,2,2,1,0,0,0,1,2,2,0,107,63,1,68,1,1,1,24,1,162,2,2
49,4,0,4,3,2,2,2,6,0,2,2,0,0,0,0,1,0,1,0,1,0,4,1,3,4,3,3,4,3,1,2,3,3,2,1,1,0,0,4,1,1,1,0,2,3,77,1,4,1,2,2,18,0,205,0,2
50,2,0,2,1,2,2,0,4,1,0,1,1,0,0,0,1,0,1,0,1,0,4,1,2,1,2,1,0,3,2,1,2,0,1,1,1,4,0,0,0,1,0,2,2,83,77,1,68,1,4,2,18,1,72,1,2
51,4,0,4,3,2,2,2,6,1,0,2,2,0,0,0,1,0,1,0,1,0,4,1,3,0,2,2,4,3,2,2,3,3,2,2,2,0,0,4,0,1,2,1,1,107,77,0,95,0,1,1,8,1,103,2,1
52,6,0,1,1,1,1,1,2,0,1,1,1,1,0,1,2,3,1,3,3,1,4,1,4,4,2,1,0,4,2,3,4,4,1,2,0,0,1,1,1,1,1,1,1,107,77,0,95,0,1,1,12,1,212,2,2
53,5,0,4,3,2,3,0,3,1,0,0,2,3,0,0,1,0,1,0,1,0,4,1,4,4,3,2,4,3,2,2,3,3,2,0,1,0,1,0,2,2,2,2,2,87,77,1,72,1,0,4,17,1,221,2,2
54,3,1,4,3,2,2,0,0,1,2,0,0,0,0,0,1,0,1,0,1,0,4,1,2,4,2,1,0,3,1,2,3,0,1,0,1,3,0,0,1,1,1,0,0,107,63,1,72,1,3,2,15,1,46,0,2
55,5,0,4,2,3,3,0,3,1,0,2,2,0,0,0,1,0,1,0,1,0,4,1,3,1,3,2,0,3,2,2,3,3,3,1,1,0,1,3,1,1,1,1,1,107,77,0,95,0,1,1,12,0,162,2,2
56,2,0,4,3,2,3,0,4,0,2,2,2,3,0,0,1,0,1,0,1,0,4,0,1,2,1,0,1,1,0,0,1,1,0,0,0,0,1,4,1,1,2,0,0,107,62,1,68,1,3,2,11,1,8,1,1
57,1,1,4,3,2,0,2,3,1,2,0,2,2,0,0,1,0,1,0,1,0,4,1,3,3,2,2,4,3,2,1,2,2,1,2,1,3,0,3,0,0,2,0,0,107,60,0,95,0,4,2,13,1,205,1,2
58,4,1,4,0,2,2,0,3,0,2,1,0,0,0,0,1,0,1,0,1,0,4,1,0,1,2,1,0,0,1,1,3,0,1,0,1,1,0,3,1,1,0,0,0,107,13,0,95,0,1,1,21,0,8,2,2
59,1,1,0,2,2,2,0,1,1,2,0,1,0,0,0,1,0,1,0,1,0,4,1,2,0,2,1,0,3,1,2,0,2,1,2,0,0,1,1,1,1,0,1,1,107,77,0,95,0,1,1,21,1,0,2,2
60,5,0,4,0,3,3,0,1,0,2,0,2,2,0,0,1,0,1,0,1,0,4,1,2,1,2,1,0,3,2,2,2,2,1,0,0,3,3,4,0,0,0,1,0,107,35,0,95,0,4,4,22,1,0,2,2
61,2,1,3,1,2,2,0,5,1,2,1,0,2,0,0,1,0,1,0,1,0,4,1,0,1,2,1,0,4,1,2,3,0,2,2,0,3,3,4,0,2,1,2,0,107,27,1,68,1,3,2,8,1,45,1,1
62,2,0,4,3,2,2,0,4,0,2,2,2,0,0,0,1,0,1,0,1,0,4,1,3,3,2,1,0,3,1,2,4,2,1,0,0,0,1,4,3,1,1,1,1,107,77,0,95,0,1,1,11,1,205,2,1
63,6,0,1,1,1,1,1,2,0,1,1,1,1,0,0,0,3,1,3,3,1,4,1,2,1,2,1,0,3,2,2,2,0,1,1,1,3,3,0,3,2,0,0,0,107,40,0,95,0,1,1,10,1,96,0,1
64,6,0,1,1,1,1,1,2,0,1,1,1,1,0,0,2,3,1,3,3,1,4,1,0,1,2,2,4,0,2,1,2,0,1,1,1,0,0,3,1,1,1,1,1,107,77,0,95,0,1,1,19,1,162,2,2
65,6,0,1,1,1,1,1,2,0,1,1,1,1,0,1,2,3,1,3,3,1,4,1,0,1,0,1,0,0,2,1,2,0,1,1,1,1,1,1,1,1,1,1,1,107,77,0,95,0,1,1,16,1,213,2,2
66,4,0,2,3,2,2,0,3,1,2,0,0,2,1,0,1,0,1,0,1,0,4,1,2,0,2,1,0,0,1,2,3,3,2,2,1,3,3,4,2,2,2,2,2,10,77,1,9,1,3,2,16,0,205,1,2
67,5,0,4,0,3,3,0,1,1,0,1,1,0,0,0,1,0,1,0,1,0,4,1,2,4,3,1,2,4,2,1,3,2,2,2,1,3,3,4,3,2,2,2,2,91,77,1,72,1,2,2,10,1,0,0,1
68,1,0,4,0,2,0,2,0,1,0,1,0,0,0,0,1,0,1,0,1,0,4,1,3,0,2,1,0,0,2,2,3,2,2,0,1,3,0,4,1,1,2,0,1,107,77,0,95,0,1,1,9,1,95,1,1
69,2,1,2,3,2,0,2,6,0,2,1,2,3,0,0,1,0,1,0,1,0,4,1,2,1,2,3,0,2,1,2,4,4,1,1,1,0,3,5,1,1,0,2,0,107,60,1,68,1,3,2,8,1,0,2,1
70,6,0,1,1,1,1,1,2,0,1,1,1,1,0,0,0,3,1,4,2,0,4,1,2,1,2,1,0,0,2,2,3,2,2,2,0,0,1,1,0,0,1,2,1,107,77,0,95,1,1,1,20,1,0,2,2
71,1,0,4,0,2,0,0,1,0,2,0,0,0,0,0,1,0,1,0,1,0,4,0,1,2,1,0,1,1,0,0,1,1,0,2,0,0,0,4,1,1,1,1,1,107,77,0,95,0,1,1,9,1,249,2,1
72,4,1,0,2,2,2,0,5,1,0,1,1,2,0,0,1,0,1,0,1,0,4,1,0,1,2,1,0,4,3,1,2,2,1,1,1,3,3,2,1,1,2,1,1,107,77,0,95,0,1,1,27,1,81,2,2
73,0,0,2,2,2,0,0,6,0,2,2,2,0,0,0,1,0,1,0,1,0,4,1,0,1,2,1,0,3,2,3,4,0,1,2,2,0,1,5,1,1,1,2,1,107,77,1,68,1,1,1,21,1,96,2,2
74,2,0,4,3,2,2,2,6,0,2,0,2,3,0,0,1,0,1,0,1,0,4,1,0,1,2,1,0,3,1,2,3,0,1,0,1,0,1,4,1,1,2,0,0,107,15,0,95,0,1,4,18,1,222,0,2
75,2,0,2,1,2,2,0,6,0,2,0,2,0,0,0,1,0,1,0,1,0,4,1,3,1,2,1,0,2,1,3,4,0,1,0,1,0,1,4,1,1,2,1,1,107,77,0,95,0,1,1,22,1,99,2,2
76,6,0,1,1,1,1,1,2,0,1,1,1,1,0,0,0,2,3,2,2,2,4,0,1,2,1,0,1,1,0,0,1,1,0,1,1,1,3,4,0,2,0,2,2,112,77,0,95,0,1,1,0,1,0,1,0
77,4,0,0,0,2,2,1,4,0,2,2,0,3,0,0,1,0,1,0,1,0,4,1,0,1,2,2,2,3,2,2,3,3,1,0,0,0,1,4,1,1,1,1,1,107,77,0,95,0,1,1,19,0,95,1,2
78,2,0,0,0,2,0,0,3,1,2,1,1,2,0,0,1,0,1,0,1,0,4,1,3,0,0,2,3,0,1,2,3,2,1,2,1,0,0,0,1,1,1,1,1,107,77,0,95,0,1,1,14,1,95,2,2
79,2,0,4,3,2,3,2,6,0,2,0,2,3,0,0,1,0,1,0,1,0,4,1,3,0,3,2,4,3,2,2,3,3,1,2,0,0,1,5,1,1,2,2,2,10,77,1,9,1,3,4,14,1,217,0,2
80,0,0,4,3,2,0,2,0,0,2,0,2,0,0,0,1,0,1,0,1,0,4,1,2,1,2,1,0,0,1,2,3,0,1,1,1,0,0,4,1,1,1,1,1,107,77,0,95,0,1,1,2,1,3,1,1
81,0,0,2,2,2,2,0,5,1,0,1,1,0,1,0,1,0,1,0,1,0,4,1,3,0,2,1,2,4,3,1,2,2,2,1,1,0,0,3,2,2,2,2,2,40,77,0,95,0,2,2,17,1,0,1,2
82,6,0,1,1,1,1,1,2,0,1,1,1,1,0,0,0,2,1,4,0,3,0,1,2,0,2,1,4,0,2,2,3,3,1,0,1,0,0,3,3,2,2,2,2,10,77,1,9,1,0,4,20,1,0,2,2
83,2,0,0,0,2,0,2,4,0,2,0,2,3,0,0,1,0,1,0,1,0,4,0,1,2,1,0,1,1,0,0,1,1,0,2,0,1,1,4,1,1,1,1,1,107,77,0,95,0,1,1,16,1,31,2,2
84,6,0,1,1,1,1,1,2,0,1,1,1,1,0,1,3,4,2,4,2,2,4,1,4,4,0,1,4,0,1,2,3,0,2,1,1,0,0,5,0,1,2,2,2,27,77,1,68,1,3,4,17,1,127,2,2
85,4,0,4,2,2,0,0,1,1,2,1,0,2,0,0,1,0,1,0,1,0,4,1,0,1,2,1,0,0,2,1,2,0,1,0,2,0,0,3,2,1,1,0,0,107,13,0,95,0,1,1,26,1,47,1,2
86,2,0,0,2,2,2,0,3,1,2,0,0,2,0,0,1,0,1,0,1,0,4,1,0,0,2,2,0,0,1,2,3,3,1,2,1,3,0,4,1,1,1,0,0,107,41,0,95,0,1,3,22,1,12,1,2
87,2,0,0,0,2,0,0,3,1,2,1,1,2,0,0,1,0,1,0,1,0,4,1,0,1,2,1,0,3,2,2,3,2,1,0,0,4,4,0,2,1,0,2,2,10,77,1,9,1,4,2,16,1,0,2,2
88,6,0,1,1,1,1,1,2,0,1,1,1,1,0,1,3,4,2,5,2,3,1,1,0,1,2,1,0,3,2,2,3,0,1,2,0,1,2,4,1,1,0,0,0,107,15,1,10,1,4,2,11,1,106,2,1
89,2,0,0,0,3,3,2,6,0,2,0,0,3,0,0,1,0,1,0,1,0,4,0,1,2,1,0,1,1,0,0,1,1,0,1,1,1,1,5,1,1,2,2,2,12,77,1,10,1,4,2,5,0,0,2,1
90,1,1,2,1,2,2,0,0,1,2,1,1,0,0,0,1,0,1,0,1,0,4,1,2,1,2,1,0,0,1,1,2,0,1,0,1,0,0,4,1,1,0,2,1,107,77,1,3,1,0,4,14,1,162,1,2
91,5,0,4,3,0,3,0,1,1,0,0,0,0,0,0,1,0,1,0,1,0,4,1,4,4,0,3,0,3,1,2,0,0,1,1,1,3,3,3,1,1,2,2,0,107,2,1,3,1,3,2,16,1,0,2,2
92,4,0,2,1,3,0,0,1,0,2,0,2,3,0,0,1,0,1,0,1,0,4,1,2,1,2,1,0,4,2,1,2,2,1,2,0,0,0,4,0,1,1,1,2,67,77,0,95,0,3,4,7,1,205,2,1
93,4,0,2,1,2,2,0,3,1,2,1,2,2,1,0,1,0,1,0,1,0,4,1,2,1,2,1,0,3,1,1,0,3,1,2,2,0,3,2,3,2,1,1,1,107,77,0,95,0,0,4,14,1,95,0,2
94,4,1,0,0,2,2,0,1,0,2,0,2,0,0,0,1,0,1,0,1,0,4,1,2,1,2,1,4,2,1,1,3,3,1,0,0,0,0,4,1,1,1,2,2,10,77,1,9,1,4,2,10,0,95,2,1
95,1,0,4,0,2,0,0,1,0,2,0,0,0,0,0,1,0,1,0,1,0,4,1,3,0,3,1,3,2,1,2,3,3,1,2,1,1,0,4,1,1,2,2,2,3,77,1,4,1,3,2,7,1,0,2,1
