,index,Music,Slow songs or fast songs,Dance,Folk,Country,Classical music,Musical,Pop,Rock,Metal or Hardrock,Punk,"Hiphop, Rap","Reggae, Ska","Swing, Jazz",Rock n roll,Alternative,Latino,"Techno, Trance",Opera,Movies,Horror,Thriller,Comedy,Romantic,Sci-fi,War,Fantasy/Fairy tales,Animated,Documentary,Western,Action,History,Psychology,Politics,Mathematics,Physics,Internet,PC,Economy Management,Biology,Chemistry,Reading,Geography,Foreign languages,Medicine,Law,Cars,Art exhibitions,Religion,"Countryside, outdoors",Dancing,Musical instruments,Writing,Passive sport,Active sport,Gardening,Celebrities,Shopping,Science and technology,Theatre,Fun with friends,Adrenaline sports,Pets,Flying,Storm,Darkness,Heights,Spiders,Snakes,Rats,Ageing,Dangerous dogs,Fear of public speaking,Smoking,Alcohol,Healthy eating,Daily events,Prioritising workload,Writing notes,Workaholism,Thinking ahead,Final judgement,Reliability,Keeping promises,Loss of interest,Friends versus money,Funniness,Fake,Criminal damage,Decision making,Elections,Self-criticism,Judgment calls,Hypochondria,Empathy,Eating to survive,Giving,Compassion to animals,Borrowed stuff,Loneliness,Cheating in school,Health,Changing the past,God,Dreams,Charity,Number of friends,Punctuality,Lying,Waiting,New environment,Mood swings,Appearence and gestures,Socializing,Achievements,Responding to a serious letter,Children,Assertiveness,Getting angry,Knowing the right people,Public speaking,Unpopularity,Life struggles,Happiness in life,Energy levels,Small - big dogs,Personality,Finding lost valuables,Getting up,Interests or hobbies,Parents' advice,Questionnaires or polls,Internet usage,Finances,Shopping centres,Branded clothing,Entertainment spending,Spending on looks,Spending on gadgets,Spending on healthy eating,Age,Height,Weight,Number of siblings,Gender,Left - right handed,Education,Only child,Village - town,House - block of flats,title
142,195,5.0,3.0,2.0,2.0,2.0,3.0,2.0,2.0,3.0,1.0,1.0,5.0,3.0,3.0,3.0,3.0,2.0,1.0,2.0,4.0,5.0,5.0,5.0,4.0,3.0,3.0,3.0,2.0,3.0,2.0,4.0,3.0,3.0,2.0,1.0,1.0,5.0,5.0,3.0,3.0,1.0,2.0,5.0,4.0,3.0,3.0,4.0,2.0,2.0,3.0,2.0,2.0,3.0,4.0,4.0,3.0,4.0,4.0,5.0,3.0,4.0,3.0,1.0,1.0,2.0,3.0,4.0,5.0,5,1.0,3.0,5.0,3.0,4,2,2.0,3.0,2.0,1.0,2.0,4.0,1.0,2.0,5.0,1.0,2.0,4.0,2.0,3.0,3.0,3.0,4.0,4.0,3.0,4.0,1,4.0,4.0,4.0,3.0,5.0,3.0,4.0,2.0,3,2.0,4,1,1,2.0,3.0,4.0,4.0,3.0,3.0,3.0,3.0,3.0,4.0,5.0,3.0,3.0,3.0,5.0,3.0,2.0,4.0,2.0,4.0,3.0,3.0,2.0,1,2.0,4.0,4.0,3.0,4.0,4,4.0,19.0,185.0,70.0,1.0,1,2,4,1,0,2,195s
143,196,5.0,3.0,2.0,2.0,2.0,2.0,3.0,4.0,4.0,3.0,3.0,4.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,5.0,1.0,2.0,5.0,5.0,4.0,3.0,5.0,5.0,4.0,3.0,3.0,4.0,4.0,2.0,1.0,1.0,5.0,3.0,3.0,3.0,1.0,4.0,4.0,5.0,4.0,2.0,3.0,2.0,1.0,5.0,3.0,1.0,1.0,5.0,5.0,1.0,2.0,3.0,3.0,3.0,5.0,4.0,1.0,2.0,2.0,3.0,2.0,4.0,5,4.0,2.0,4.0,3.0,1,0,3.0,4.0,4.0,2.0,3.0,3.0,3.0,4.0,4.0,2.0,4.0,3.0,1.0,3.0,2.0,1.0,3.0,4.0,1.0,5.0,2,3.0,4.0,5.0,2.0,5.0,4.0,2.0,1.0,3,2.0,5,2,3,3.0,3.0,4.0,4.0,4.0,3.0,1.0,4.0,4.0,3.0,4.0,4.0,4.0,5.0,4.0,4.0,3.0,4.0,5.0,4.0,5.0,3.0,3.0,1,4.0,4.0,4.0,4.0,4.0,4,5.0,20.0,169.0,64.0,0.0,2,2,4,1,0,1,196h
144,197,5.0,3.0,3.0,2.0,3.0,1.0,4.0,2.0,2.0,1.0,1.0,3.0,2.0,2.0,1.0,1.0,3.0,1.0,1.0,5.0,4.0,4.0,5.0,5.0,1.0,3.0,3.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,4.0,2.0,4.0,1.0,1.0,1.0,4.0,3.0,1.0,1.0,3.0,1.0,1.0,5.0,5.0,1.0,1.0,5.0,1.0,1.0,2.0,4.0,1.0,4.0,5.0,1.0,4.0,1.0,4.0,4.0,2.0,4.0,4,4.0,2.0,4.0,4.0,1,0,3.0,2.0,2.0,2.0,3.0,3.0,1.0,2.0,4.0,4.0,4.0,3.0,1.0,4.0,5.0,5.0,4.0,4.0,4.0,5.0,1,3.0,5.0,3.0,3.0,5.0,5.0,4.0,3.0,3,1.0,3,1,3,3.0,3.0,4.0,5.0,5.0,4.0,4.0,5.0,3.0,4.0,5.0,4.0,3.0,4.0,3.0,4.0,3.0,3.0,1.0,5.0,4.0,4.0,3.0,1,3.0,3.0,3.0,1.0,4.0,1,4.0,22.0,160.0,47.0,0.0,2,2,2,1,0,0,197o
145,198,5.0,3.0,3.0,4.0,2.0,2.0,2.0,3.0,5.0,3.0,5.0,5.0,4.0,2.0,5.0,2.0,2.0,2.0,2.0,3.0,5.0,3.0,3.0,2.0,3.0,5.0,5.0,5.0,3.0,2.0,3.0,4.0,3.0,2.0,1.0,1.0,3.0,4.0,1.0,1.0,1.0,2.0,1.0,3.0,1.0,1.0,4.0,1.0,1.0,4.0,1.0,3.0,1.0,2.0,4.0,1.0,1.0,2.0,3.0,1.0,5.0,3.0,4.0,1.0,5.0,5.0,5.0,5.0,5,5.0,3.0,5.0,4.0,4,1,3.0,3.0,1.0,1.0,3.0,1.0,1.0,4.0,4.0,5.0,5.0,5.0,2.0,5.0,1.0,5.0,1.0,4.0,1.0,4.0,3,1.0,2.0,3.0,1.0,5.0,1.0,2.0,1.0,3,1.0,5,1,3,3.0,4.0,5.0,4.0,4.0,2.0,3.0,4.0,5.0,5.0,3.0,1.0,2.0,1.0,4.0,5.0,5.0,4.0,1.0,1.0,4.0,2.0,2.0,1,1.0,1.0,4.0,5.0,2.0,1,2.0,20.0,186.0,88.0,1.0,1,2,4,2,2,2,198s
146,200,4.0,3.0,3.0,1.0,2.0,4.0,3.0,4.0,4.0,4.0,3.0,5.0,4.0,3.0,4.0,2.0,2.0,2.0,1.0,5.0,4.0,4.0,5.0,5.0,5.0,5.0,4.0,4.0,5.0,4.0,3.0,3.0,2.0,3.0,1.0,3.0,5.0,5.0,3.0,1.0,1.0,3.0,4.0,4.0,2.0,2.0,3.0,2.0,1.0,1.0,1.0,1.0,1.0,5.0,2.0,1.0,1.0,2.0,4.0,2.0,2.0,2.0,5.0,3.0,1.0,2.0,3.0,1.0,2,1.0,1.0,3.0,4.0,1,0,2.0,2.0,2.0,2.0,3.0,4.0,5.0,3.0,4.0,2.0,1.0,2.0,4.0,5.0,5.0,5.0,5.0,4.0,1.0,5.0,2,1.0,3.0,3.0,5.0,2.0,2.0,5.0,2.0,3,2.0,1,2,3,2.0,2.0,2.0,2.0,1.0,2.0,5.0,3.0,1.0,3.0,2.0,4.0,3.0,3.0,2.0,1.0,1.0,3.0,2.0,5.0,1.0,2.0,3.0,3,4.0,3.0,3.0,2.0,2.0,3,1.0,21.0,169.0,55.0,2.0,1,2,4,2,0,1,200x
147,203,5.0,3.0,4.0,2.0,2.0,3.0,1.0,4.0,5.0,3.0,3.0,3.0,3.0,2.0,2.0,2.0,4.0,3.0,3.0,5.0,3.0,3.0,5.0,5.0,3.0,3.0,5.0,5.0,2.0,2.0,4.0,2.0,2.0,1.0,3.0,2.0,5.0,4.0,3.0,5.0,5.0,3.0,1.0,4.0,5.0,3.0,4.0,3.0,2.0,3.0,5.0,1.0,1.0,4.0,3.0,3.0,1.0,4.0,1.0,2.0,5.0,4.0,3.0,1.0,1.0,1.0,4.0,2.0,2,2.0,4.0,4.0,5.0,4,0,3.0,2.0,3.0,4.0,2.0,2.0,2.0,4.0,4.0,3.0,2.0,3.0,2.0,3.0,3.0,1.0,3.0,4.0,1.0,5.0,4,3.0,1.0,5.0,3.0,5.0,2.0,3.0,4.0,3,2.0,3,1,3,2.0,3.0,3.0,3.0,3.0,3.0,3.0,5.0,2.0,2.0,3.0,5.0,3.0,5.0,4.0,4.0,3.0,3.0,2.0,3.0,3.0,3.0,2.0,1,3.0,4.0,2.0,3.0,4.0,3,2.0,19.0,163.0,50.0,1.0,2,2,2,2,0,1,203S
148,204,5.0,3.0,3.0,3.0,2.0,3.0,3.0,2.0,5.0,4.0,4.0,2.0,5.0,4.0,5.0,4.0,3.0,1.0,2.0,5.0,1.0,2.0,4.0,2.0,5.0,1.0,4.0,5.0,4.0,2.0,3.0,1.0,2.0,1.0,4.0,3.0,5.0,4.0,3.0,1.0,2.0,5.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,4.0,4.0,1.0,3.0,2.0,1.0,1.0,1.0,4.0,3,1.0,2.0,3.0,4.0,3,1,3.0,2.0,2.0,5.0,2.0,5.0,1.0,4.0,4.0,3.0,2.0,2.0,1.0,1.0,5.0,3.0,5.0,4.0,3.0,1.0,5,1.0,4.0,5.0,3.0,3.0,3.0,1.0,1.0,3,1.0,3,2,4,4.0,2.0,4.0,3.0,2.0,3.0,4.0,2.0,3.0,4.0,2.0,5.0,1.0,3.0,4.0,2.0,2.0,3.0,3.0,5.0,2.0,3.0,2.0,1,3.0,1.0,1.0,2.0,2.0,2,2.0,24.0,169.0,51.0,1.0,2,2,2,2,0,2,204R
149,205,5.0,1.0,2.0,4.0,3.0,5.0,5.0,4.0,4.0,3.0,1.0,1.0,1.0,4.0,5.0,3.0,4.0,1.0,5.0,5.0,1.0,1.0,4.0,4.0,3.0,3.0,5.0,4.0,5.0,2.0,1.0,5.0,4.0,1.0,1.0,2.0,2.0,2.0,1.0,4.0,4.0,5.0,3.0,5.0,5.0,1.0,1.0,4.0,4.0,4.0,4.0,3.0,5.0,1.0,4.0,4.0,1.0,1.0,4.0,5.0,5.0,1.0,2.0,3.0,2.0,4.0,5.0,1.0,1,1.0,1.0,3.0,4.0,3,0,4.0,2.0,2.0,5.0,3.0,4.0,5.0,5.0,5.0,3.0,5.0,1.0,1.0,1.0,4.0,4.0,5.0,4.0,4.0,5.0,1,1.0,4.0,5.0,3.0,3.0,3.0,2.0,4.0,3,4.0,3,1,3,2.0,2.0,3.0,2.0,2.0,3.0,1.0,4.0,2.0,2.0,1.0,5.0,3.0,4.0,4.0,2.0,2.0,3.0,4.0,4.0,5.0,4.0,5.0,1,5.0,2.0,3.0,3.0,1.0,1,4.0,19.0,160.0,53.0,1.0,2,2,4,1,0,1,205R
150,206,5.0,3.0,5.0,2.0,2.0,5.0,5.0,3.0,4.0,4.0,3.0,1.0,2.0,4.0,4.0,3.0,1.0,1.0,5.0,5.0,5.0,4.0,4.0,1.0,4.0,4.0,2.0,2.0,4.0,4.0,5.0,5.0,3.0,5.0,4.0,4.0,4.0,4.0,2.0,2.0,4.0,5.0,3.0,5.0,3.0,5.0,4.0,5.0,3.0,4.0,1.0,3.0,3.0,3.0,3.0,1.0,1.0,1.0,4.0,5.0,4.0,3.0,3.0,3.0,2.0,1.0,2.0,3.0,3,3.0,2.0,2.0,1.0,1,1,3.0,5.0,5.0,3.0,3.0,3.0,5.0,5.0,5.0,4.0,5.0,3.0,2.0,5.0,3.0,5.0,3.0,4.0,3.0,5.0,3,1.0,5.0,5.0,3.0,2.0,3.0,3.0,3.0,3,4.0,4,1,1,3.0,3.0,3.0,3.0,4.0,2.0,3.0,2.0,5.0,3.0,3.0,1.0,4.0,2.0,3.0,5.0,3.0,3.0,3.0,3.0,3.0,2.0,3.0,1,4.0,1.0,1.0,1.0,3.0,2,3.0,25.0,184.0,85.0,3.0,1,0,2,2,2,2,206N
151,207,5.0,3.0,2.0,3.0,3.0,4.0,5.0,3.0,3.0,1.0,4.0,2.0,2.0,3.0,4.0,2.0,4.0,1.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,1.0,4.0,5.0,2.0,4.0,1.0,1.0,4.0,2.0,2.0,3.0,2.0,5.0,5.0,4.0,3.0,5.0,4.0,2.0,2.0,4.0,2.0,1.0,2.0,5.0,5.0,2.0,3.0,3.0,4.0,3.0,4.0,2.0,5.0,2.0,3.0,3.0,2.0,5.0,3,3.0,1.0,2.0,3.0,1,0,3.0,5.0,5.0,5.0,4.0,3.0,3.0,4.0,3.0,1.0,3.0,3.0,2.0,3.0,2.0,1.0,5.0,2.0,1.0,5.0,2,5.0,5.0,5.0,4.0,2.0,4.0,5.0,1.0,3,3.0,2,2,3,2.0,3.0,3.0,4.0,2.0,3.0,4.0,5.0,2.0,4.0,4.0,2.0,3.0,5.0,3.0,4.0,1.0,3.0,4.0,1.0,4.0,4.0,2.0,1,4.0,3.0,1.0,2.0,3.0,1,5.0,20.0,170.0,62.0,1.0,2,2,2,2,0,2,207F
152,208,5.0,3.0,3.0,2.0,1.0,3.0,2.0,4.0,4.0,1.0,5.0,4.0,5.0,5.0,5.0,3.0,3.0,1.0,2.0,3.0,3.0,4.0,4.0,2.0,3.0,5.0,5.0,3.0,4.0,1.0,3.0,3.0,3.0,3.0,1.0,1.0,2.0,1.0,1.0,3.0,2.0,3.0,3.0,4.0,2.0,1.0,3.0,5.0,1.0,4.0,2.0,3.0,2.0,3.0,5.0,1.0,4.0,5.0,3.0,2.0,5.0,5.0,5.0,1.0,5.0,5.0,2.0,5.0,4,4.0,4.0,1.0,2.0,4,0,3.0,3.0,1.0,4.0,3.0,3.0,2.0,4.0,4.0,1.0,5.0,5.0,2.0,1.0,3.0,5.0,4.0,5.0,5.0,5.0,1,3.0,5.0,4.0,3.0,5.0,3.0,2.0,3.0,4,1.0,5,1,3,2.0,3.0,3.0,5.0,4.0,3.0,3.0,3.0,2.0,3.0,4.0,3.0,3.0,3.0,4.0,3.0,3.0,4.0,4.0,4.0,4.0,3.0,4.0,2,1.0,5.0,2.0,3.0,4.0,1,3.0,19.0,170.0,60.0,2.0,2,2,4,2,2,2,208v
153,211,5.0,4.0,5.0,1.0,2.0,2.0,5.0,5.0,5.0,1.0,1.0,5.0,4.0,4.0,5.0,2.0,5.0,4.0,1.0,5.0,2.0,5.0,5.0,5.0,3.0,3.0,5.0,1.0,3.0,2.0,5.0,1.0,3.0,2.0,1.0,1.0,5.0,5.0,4.0,1.0,1.0,3.0,2.0,5.0,1.0,1.0,3.0,1.0,1.0,3.0,5.0,1.0,1.0,3.0,5.0,1.0,5.0,5.0,1.0,4.0,5.0,3.0,4.0,1.0,2.0,2.0,5.0,5.0,5,5.0,5.0,5.0,1.0,1,0,5.0,5.0,3.0,5.0,3.0,3.0,5.0,5.0,5.0,3.0,5.0,5.0,1.0,5.0,3.0,5.0,5.0,5.0,3.0,5.0,1,2.0,1.0,2.0,3.0,3.0,3.0,5.0,4.0,1,1.0,5,3,4,2.0,4.0,3.0,5.0,4.0,4.0,4.0,3.0,5.0,5.0,5.0,2.0,1.0,3.0,4.0,4.0,2.0,4.0,3.0,4.0,4.0,4.0,1.0,1,2.0,5.0,4.0,5.0,4.0,3,2.0,21.0,176.0,55.0,1.0,2,2,4,2,2,2,211J
154,212,5.0,3.0,1.0,3.0,3.0,5.0,1.0,2.0,4.0,2.0,3.0,3.0,2.0,4.0,5.0,5.0,1.0,2.0,5.0,5.0,5.0,5.0,5.0,3.0,5.0,5.0,5.0,5.0,5.0,3.0,5.0,5.0,3.0,4.0,5.0,5.0,5.0,5.0,4.0,3.0,3.0,5.0,4.0,4.0,3.0,4.0,3.0,5.0,1.0,5.0,2.0,5.0,5.0,5.0,1.0,4.0,1.0,4.0,4.0,5.0,5.0,2.0,1.0,1.0,1.0,1.0,2.0,4.0,4,2.0,1.0,3.0,3.0,1,1,4.0,2.0,3.0,2.0,3.0,5.0,1.0,5.0,5.0,5.0,5.0,5.0,2.0,1.0,3.0,5.0,5.0,5.0,1.0,1.0,1,1.0,2.0,5.0,2.0,1.0,1.0,3.0,3.0,3,3.0,5,1,3,5.0,5.0,2.0,5.0,5.0,4.0,1.0,3.0,5.0,1.0,4.0,3.0,1.0,1.0,3.0,2.0,2.0,4.0,3.0,4.0,5.0,3.0,3.0,3,3.0,3.0,3.0,4.0,4.0,3,4.0,20.0,170.0,62.0,1.0,1,2,4,2,0,1,212e
155,213,5.0,4.0,4.0,2.0,3.0,3.0,4.0,5.0,5.0,2.0,5.0,4.0,2.0,2.0,2.0,4.0,3.0,5.0,2.0,5.0,1.0,3.0,5.0,4.0,3.0,3.0,5.0,5.0,4.0,2.0,5.0,3.0,3.0,3.0,3.0,4.0,5.0,4.0,4.0,5.0,5.0,5.0,4.0,5.0,5.0,4.0,5.0,3.0,3.0,5.0,2.0,1.0,1.0,3.0,3.0,3.0,4.0,4.0,5.0,4.0,5.0,4.0,4.0,2.0,2.0,1.0,2.0,3.0,4,1.0,1.0,5.0,3.0,3,0,3.0,3.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,3.0,5.0,3.0,2.0,1.0,4.0,5.0,5.0,5.0,1.0,5.0,3,1.0,5.0,5.0,4.0,1.0,3.0,2.0,5.0,3,2.0,3,2,3,4.0,2.0,3.0,4.0,2.0,2.0,3.0,3.0,5.0,2.0,4.0,5.0,3.0,1.0,4.0,3.0,2.0,3.0,3.0,1.0,2.0,4.0,3.0,1,5.0,4.0,4.0,3.0,4.0,5,4.0,20.0,168.0,69.0,1.0,2,2,4,2,2,2,213W
156,214,4.0,3.0,2.0,2.0,2.0,3.0,3.0,3.0,5.0,4.0,3.0,2.0,2.0,5.0,5.0,4.0,3.0,1.0,2.0,5.0,1.0,3.0,5.0,2.0,3.0,2.0,4.0,4.0,5.0,3.0,4.0,4.0,3.0,3.0,3.0,3.0,4.0,3.0,2.0,5.0,5.0,4.0,5.0,5.0,5.0,4.0,4.0,4.0,2.0,2.0,1.0,1.0,2.0,2.0,3.0,2.0,4.0,4.0,5.0,4.0,4.0,2.0,3.0,3.0,2.0,2.0,3.0,5.0,4,3.0,3.0,3.0,3.0,1,0,3.0,4.0,4.0,3.0,2.0,4.0,3.0,3.0,3.0,2.0,4.0,4.0,2.0,2.0,3.0,1.0,4.0,5.0,2.0,3.0,2,2.0,4.0,4.0,4.0,4.0,3.0,2.0,5.0,3,3.0,3,2,3,3.0,3.0,3.0,3.0,2.0,3.0,3.0,5.0,3.0,4.0,3.0,4.0,3.0,5.0,3.0,3.0,3.0,3.0,4.0,4.0,3.0,3.0,4.0,2,3.0,3.0,3.0,2.0,4.0,3,4.0,18.0,173.0,55.0,3.0,2,2,1,2,0,1,214g
157,216,5.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,5.0,3.0,2.0,1.0,1.0,3.0,1.0,1.0,2.0,1.0,4.0,4.0,2.0,3.0,1.0,1.0,4.0,1.0,1.0,3.0,1.0,2.0,3.0,3.0,2.0,3.0,4.0,4.0,1.0,1.0,4.0,4.0,3.0,1.0,3.0,5.0,3.0,1.0,2.0,1.0,3.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,4.0,1.0,2.0,4.0,3.0,1.0,1.0,1.0,1.0,3.0,4.0,1,1.0,3.0,5.0,1.0,4,1,3.0,2.0,3.0,3.0,4.0,3.0,1.0,3.0,3.0,1.0,3.0,2.0,2.0,4.0,3.0,3.0,2.0,5.0,1.0,4.0,2,1.0,4.0,4.0,3.0,2.0,3.0,3.0,1.0,4,1.0,4,1,3,2.0,4.0,4.0,4.0,3.0,3.0,4.0,3.0,2.0,3.0,4.0,2.0,3.0,4.0,3.0,4.0,3.0,4.0,1.0,2.0,3.0,3.0,3.0,1,3.0,4.0,5.0,5.0,5.0,2,5.0,17.0,163.0,68.0,0.0,2,2,4,1,0,1,216U
158,217,5.0,3.0,4.0,1.0,3.0,2.0,5.0,4.0,3.0,1.0,2.0,3.0,1.0,2.0,4.0,4.0,3.0,2.0,3.0,5.0,1.0,3.0,5.0,5.0,3.0,2.0,5.0,5.0,4.0,2.0,4.0,2.0,3.0,1.0,2.0,1.0,5.0,4.0,3.0,2.0,2.0,5.0,5.0,5.0,1.0,2.0,1.0,4.0,3.0,4.0,3.0,4.0,3.0,3.0,2.0,2.0,2.0,2.0,2.0,5.0,5.0,4.0,5.0,3.0,3.0,2.0,4.0,5.0,3,3.0,3.0,1.0,1.0,3,0,3.0,2.0,5.0,5.0,4.0,3.0,3.0,3.0,4.0,3.0,4.0,4.0,2.0,1.0,3.0,3.0,5.0,5.0,2.0,5.0,5,3.0,5.0,5.0,3.0,1.0,3.0,4.0,5.0,3,1.0,3,1,3,2.0,3.0,4.0,3.0,2.0,2.0,4.0,3.0,3.0,2.0,4.0,4.0,3.0,4.0,4.0,4.0,3.0,3.0,2.0,2.0,2.0,1.0,5.0,1,3.0,4.0,3.0,2.0,2.0,3,3.0,19.0,178.0,60.0,1.0,2,2,1,2,2,2,217X
159,218,5.0,4.0,2.0,1.0,3.0,2.0,3.0,4.0,3.0,1.0,1.0,4.0,3.0,1.0,2.0,2.0,1.0,3.0,2.0,5.0,3.0,2.0,5.0,3.0,5.0,5.0,3.0,4.0,5.0,1.0,5.0,2.0,1.0,5.0,2.0,4.0,5.0,4.0,2.0,5.0,5.0,3.0,3.0,5.0,5.0,3.0,4.0,1.0,2.0,4.0,5.0,5.0,1.0,2.0,4.0,1.0,3.0,3.0,5.0,3.0,5.0,4.0,5.0,1.0,1.0,1.0,3.0,1.0,1,2.0,4.0,3.0,2.0,1,0,4.0,5.0,3.0,1.0,3.0,1.0,2.0,4.0,4.0,2.0,3.0,4.0,2.0,5.0,3.0,4.0,1.0,4.0,1.0,2.0,4,1.0,4.0,5.0,4.0,5.0,4.0,2.0,5.0,4,1.0,2,1,1,2.0,4.0,2.0,4.0,5.0,4.0,4.0,2.0,2.0,1.0,5.0,4.0,5.0,1.0,4.0,5.0,5.0,3.0,1.0,5.0,2.0,4.0,2.0,1,2.0,5.0,5.0,5.0,4.0,5,3.0,18.0,182.0,70.0,2.0,1,2,1,2,2,2,218m
160,220,5.0,3.0,4.0,3.0,3.0,4.0,2.0,1.0,3.0,1.0,2.0,5.0,4.0,4.0,2.0,5.0,3.0,1.0,3.0,5.0,3.0,3.0,5.0,3.0,2.0,3.0,4.0,5.0,4.0,3.0,4.0,3.0,3.0,1.0,1.0,1.0,3.0,4.0,1.0,5.0,5.0,3.0,1.0,5.0,3.0,2.0,4.0,3.0,2.0,4.0,2.0,5.0,1.0,5.0,5.0,3.0,1.0,3.0,4.0,2.0,5.0,3.0,5.0,1.0,3.0,2.0,2.0,2.0,3,2.0,1.0,4.0,3.0,1,1,4.0,2.0,2.0,2.0,1.0,2.0,2.0,3.0,5.0,2.0,4.0,4.0,2.0,5.0,4.0,4.0,2.0,4.0,1.0,4.0,2,3.0,5.0,5.0,2.0,5.0,3.0,1.0,2.0,3,1.0,4,1,1,2.0,4.0,3.0,3.0,4.0,3.0,4.0,3.0,3.0,2.0,4.0,5.0,3.0,1.0,5.0,4.0,3.0,4.0,3.0,4.0,5.0,4.0,3.0,1,2.0,3.0,2.0,5.0,4.0,2,3.0,18.0,200.0,90.0,2.0,1,2,4,2,2,2,220W
161,221,5.0,3.0,4.0,5.0,1.0,4.0,3.0,3.0,5.0,5.0,4.0,5.0,5.0,5.0,4.0,4.0,3.0,4.0,3.0,5.0,4.0,5.0,5.0,3.0,4.0,3.0,4.0,5.0,4.0,3.0,2.0,3.0,4.0,1.0,4.0,4.0,5.0,5.0,3.0,2.0,1.0,3.0,5.0,5.0,3.0,3.0,4.0,4.0,1.0,5.0,1.0,5.0,3.0,3.0,5.0,3.0,1.0,2.0,5.0,3.0,5.0,4.0,4.0,1.0,2.0,1.0,1.0,2.0,2,1.0,1.0,3.0,3.0,4,1,3.0,3.0,4.0,3.0,5.0,4.0,1.0,5.0,3.0,5.0,5.0,5.0,1.0,3.0,1.0,5.0,1.0,5.0,1.0,5.0,4,5.0,5.0,5.0,2.0,5.0,2.0,1.0,1.0,3,2.0,5,2,3,5.0,5.0,2.0,3.0,4.0,3.0,1.0,5.0,5.0,2.0,3.0,5.0,5.0,1.0,5.0,3.0,4.0,3.0,2.0,2.0,4.0,2.0,3.0,1,1.0,3.0,1.0,3.0,1.0,1,5.0,30.0,178.0,71.0,2.0,1,2,6,2,0,1,221d
162,222,5.0,3.0,3.0,2.0,4.0,4.0,3.0,5.0,5.0,3.0,3.0,2.0,1.0,4.0,3.0,3.0,3.0,1.0,1.0,5.0,1.0,3.0,5.0,5.0,3.0,3.0,5.0,5.0,3.0,3.0,3.0,2.0,3.0,1.0,2.0,2.0,3.0,2.0,2.0,1.0,1.0,3.0,3.0,3.0,1.0,1.0,1.0,1.0,2.0,4.0,1.0,1.0,2.0,4.0,2.0,3.0,3.0,4.0,3.0,2.0,3.0,1.0,1.0,1.0,2.0,1.0,2.0,2.0,4,2.0,3.0,5.0,5.0,3,0,2.0,4.0,1.0,4.0,2.0,5.0,3.0,4.0,4.0,1.0,3.0,2.0,2.0,5.0,5.0,4.0,5.0,3.0,1.0,4.0,2,1.0,4.0,4.0,5.0,4.0,4.0,2.0,1.0,4,1.0,1,3,3,2.0,1.0,5.0,4.0,3.0,4.0,5.0,2.0,3.0,4.0,4.0,5.0,5.0,5.0,4.0,1.0,1.0,3.0,2.0,4.0,1.0,4.0,3.0,1,4.0,5.0,2.0,1.0,4.0,2,4.0,24.0,153.0,42.0,1.0,2,2,4,2,0,2,222P
163,223,5.0,3.0,3.0,3.0,2.0,3.0,1.0,4.0,2.0,2.0,1.0,4.0,3.0,4.0,2.0,2.0,5.0,2.0,2.0,5.0,1.0,2.0,5.0,3.0,2.0,2.0,4.0,5.0,4.0,1.0,4.0,4.0,5.0,2.0,3.0,2.0,5.0,3.0,2.0,5.0,3.0,5.0,3.0,4.0,2.0,2.0,2.0,3.0,3.0,4.0,5.0,4.0,4.0,5.0,5.0,2.0,2.0,3.0,3.0,3.0,5.0,5.0,5.0,4.0,2.0,1.0,3.0,1.0,3,1.0,5.0,5.0,2.0,1,0,1.0,3.0,2.0,3.0,5.0,5.0,3.0,3.0,5.0,3.0,5.0,4.0,2.0,5.0,5.0,2.0,4.0,5.0,1.0,4.0,3,5.0,5.0,5.0,2.0,5.0,4.0,2.0,5.0,2,3.0,5,1,3,1.0,3.0,3.0,5.0,3.0,3.0,4.0,4.0,5.0,3.0,4.0,4.0,5.0,3.0,3.0,3.0,3.0,3.0,3.0,5.0,5.0,2.0,2.0,1,4.0,4.0,5.0,2.0,5.0,3,3.0,20.0,168.0,51.0,0.0,2,2,4,1,2,2,223S
